"","City2","State2","savings","hpigap","Pop","Location"
"100","Durham-Chapel Hill","NC",0.21334248803921,61.605625,591,"Durham-Chapel Hill, NC"
"101","East Stroudsburg","PA",0.395016837098178,104.429166666667,116,"East Stroudsburg, PA"
"102","Eau Claire","WI",0.270900847222674,87.546,40,"Eau Claire, WI"
"103","El Paso","TX",0.309539526201473,85.2205555555556,1635,"El Paso, TX"
"104","Elizabethtown-Fort Knox","KY",0.279580631782894,74.9241666666667,190,"Elizabethtown-Fort Knox, KY"
"105","Elkhart-Goshen","IN",0.401951537511314,109.686666666667,352,"Elkhart-Goshen, IN"
"106","Elmira","NY",0.333102170335029,82.16125,52,"Elmira, NY"
"107","Enid","OK",0.19691230592419,61.7235714285714,189,"Enid, OK"
"108","Erie","PA",0.413584751412226,129.2025,102,"Erie, PA"
"109","Eugene-Springfield","OR",0.118460678876145,40.5321428571429,3559,"Eugene-Springfield, OR"
"110","Evansville","IN",0.4007764713433,116.700833333333,269,"Evansville, IN"
"111","Fargo","ND",0.0540111722901011,30.7245,118,"Fargo, ND"
"112","Farmington","NM",0.203489469567221,67.1783333333333,196,"Farmington, NM"
"113","Fayetteville","NC",0.386149466279772,103.110961538462,768,"Fayetteville, NC"
"114","Fayetteville-Springdale-Rogers","AR",0.333655277284034,102.491388888889,1143,"Fayetteville-Springdale-Rogers, AR"
"115","Flagstaff","AZ",0.157462783064015,54.2121153846154,2098,"Flagstaff, AZ"
"116","Flint","MI",0.404901049123076,103.2635,152,"Flint, MI"
"117","Florence","SC",0.254986243215306,58.9875,62,"Florence, SC"
"118","Florence-Muscle Shoals","AL",0.332559090900335,106.114166666667,194,"Florence-Muscle Shoals, AL"
"119","Fond du Lac","WI",0.41230421812798,115.47,30,"Fond du Lac, WI"
"120","Fort Collins","CO",0.0247368165852185,17.9941071428571,1489,"Fort Collins, CO"
"121","Fort Smith","AR",0.315660709110138,91.5021875,439,"Fort Smith, AR"
"122","Fort Wayne","IN",0.377627689970755,97.4491666666667,315,"Fort Wayne, IN"
"123","Gadsden","AL",0.426067036411864,132.5175,5,"Gadsden, AL"
"124","Gainesville","FL",0.275217817567095,81.435625,516,"Gainesville, FL"
"125","Gainesville","GA",0.302813854496906,88.99,242,"Gainesville, GA"
"126","Gettysburg","PA",0.389604773949098,118.72,75,"Gettysburg, PA"
"127","Glens Falls","NY",0.472063048832943,167.44125,12,"Glens Falls, NY"
"128","Goldsboro","NC",0.378710906134945,104.13875,64,"Goldsboro, NC"
"129","Grand Forks","ND",0.113406801455384,35.0839285714286,221,"Grand Forks, ND"
"130","Grand Island","NE",0.382689248032868,127.521666666667,130,"Grand Island, NE"
"131","Grand Junction","CO",0.13001479701478,49.159,236,"Grand Junction, CO"
