code,msa,permits2022
24660,"Greensboro-High Point, NC                                   ",2993
24780,"Greenville, NC                                              ",928
24860,"Greenville-Anderson, SC                                     ",8244
25060,"Gulfport-Biloxi, MS                                         ",2903
25180,"Hagerstown-Martinsburg, MD-WV                               ",2148
25220,"Hammond, LA                                                 ",1458
25260,"Hanford-Corcoran, CA                                        ",436
25420,"Harrisburg-Carlisle, PA                                     ",2711
25500,"Harrisonburg, VA                                            ",710
25540,"Hartford-East Hartford-Middletown, CT                       ",1917
25620,"Hattiesburg, MS                                             ",154
25860,"Hickory-Lenoir-Morganton, NC                                ",2637
25940,"Hilton Head Island-Bluffton, SC                             ",2951
25980,"Hinesville, GA                                              ",844
26140,"Homosassa Springs, FL                                       ",1628
26300,"Hot Springs, AR                                             ",99
26380,"Houma-Thibodaux, LA                                         ",872
26420,"Houston-The Woodlands-Sugar Land, TX                        ",75728
26580,"Huntington-Ashland, WV-KY-OH                                ",255
26620,"Huntsville, AL                                              ",4035
26820,"Idaho Falls, ID                                             ",1380
26900,"Indianapolis-Carmel-Anderson, IN                            ",13493
26980,"Iowa City, IA                                               ",1429
27060,"Ithaca, NY                                                  ",239
27100,"Jackson, MI                                                 ",141
27140,"Jackson, MS                                                 ",1234
27180,"Jackson, TN                                                 ",456
27260,"Jacksonville, FL                                            ",23169
27340,"Jacksonville, NC                                            ",1322
27500,"Janesville-Beloit, WI                                       ",396
27620,"Jefferson City, MO                                          ",179
27740,"Johnson City, TN                                            ",1024
27780,"Johnstown, PA                                               ",94
27860,"Jonesboro, AR                                               ",1149
27900,"Joplin, MO                                                  ",1197
27980,"Kahului-Wailuku-Lahaina, HI                                 ",684
28020,"Kalamazoo-Portage, MI                                       ",457
28100,"Kankakee, IL                                                ",116
28140,"Kansas City, MO-KS                                          ",11219
28420,"Kennewick-Richland, WA                                      ",1886
28660,"Killeen-Temple, TX                                          ",4016
28700,"Kingsport-Bristol, TN-VA                                    ",939
28740,"Kingston, NY                                                ",446
28940,"Knoxville, TN                                               ",4838
29020,"Kokomo, IN                                                  ",164
29100,"La Crosse-Onalaska, WI-MN                                   ",401
29180,"Lafayette, LA                                               ",2071
29200,"Lafayette-West Lafayette, IN                                ",1538
29340,"Lake Charles, LA                                            ",1122
29420,"Lake Havasu City-Kingman, AZ                                ",2079
29460,"Lakeland-Winter Haven, FL                                   ",12211
29540,"Lancaster, PA                                               ",1429
29620,"Lansing-East Lansing, MI                                    ",972
29700,"Laredo, TX                                                  ",1272
29740,"Las Cruces, NM                                              ",1105
29820,"Las Vegas-Henderson-Paradise, NV                            ",13066
29940,"Lawrence, KS                                                ",401
30020,"Lawton, OK                                                  ",79
30140,"Lebanon, PA                                                 ",364
30300,"Lewiston, ID-WA                                             ",134
30340,"Lewiston-Auburn, ME                                         ",484
30460,"Lexington-Fayette, KY                                       ",2709
30620,"Lima, OH                                                    ",109
30700,"Lincoln, NE                                                 ",3349
30780,"Little Rock-North Little Rock-Conway, AR                    ",3338
30860,"Logan, UT-ID                                                ",1108
30980,"Longview, TX                                                ",745
31020,"Longview, WA                                                ",585
31080,"Los Angeles-Long Beach-Anaheim, CA                          ",32510
31140,"Louisville-Jefferson County, KY-IN                          ",5456
31180,"Lubbock, TX                                                 ",3279
