"","City2","State2","savings","hpigap","Pop","Location"
"71","Cleveland-Elyria","OH",0.465353154823722,131.8875,987,"Cleveland-Elyria, OH"
"72","Coeur d'Alene","ID",0.2579516498373,81.122,1176,"Coeur d'Alene, ID"
"73","College Station-Bryan","TX",0.256750011531105,76.5408333333333,376,"College Station-Bryan, TX"
"74","Colorado Springs","CO",0.307906756472393,95.520625,2218,"Colorado Springs, CO"
"75","Columbia","MO",0.332165292979323,99.582,182,"Columbia, MO"
"76","Columbia","SC",0.315954249997381,88.9298529411765,1920,"Columbia, SC"
"77","Columbus","GA",0.377600288185194,109.710208333333,416,"Columbus, GA"
"78","Columbus","IN",0.551658005074069,194.94625,41,"Columbus, IN"
"79","Columbus","OH",0.303137933504535,80.5725,367,"Columbus, OH"
"80","Corpus Christi","TX",0.232649480709468,68.611,569,"Corpus Christi, TX"
"81","Corvallis","OR",0.330815277851793,110.174166666667,398,"Corvallis, OR"
"82","Crestview-Fort Walton Beach-Destin","FL",0.23749997825791,77.4027777777778,554,"Crestview-Fort Walton Beach-Destin, FL"
"83","Cumberland","MD",0.558581507448434,197.33875,10,"Cumberland, MD"
"84","Dallas-Fort Worth-Arlington","TX",0.212790475524787,66.9014583333333,13789,"Dallas-Fort Worth-Arlington, TX"
"85","Dalton","GA",0.405042222890158,126.24,156,"Dalton, GA"
"86","Danville","IL",0.168491608677855,32.93,2,"Danville, IL"
"87","Daphne-Fairhope-Foley","AL",0.18125133397105,48.641,36,"Daphne-Fairhope-Foley, AL"
"88","Davenport-Moline-Rock Island","IA",0.238979953733536,63.7275,477,"Davenport-Moline-Rock Island, IA"
"89","Dayton-Kettering","OH",0.476453314282693,131.776818181818,727,"Dayton-Kettering, OH"
"90","Decatur","AL",0.336858799875979,94.05,7,"Decatur, AL"
"91","Decatur","IL",0.464785349802851,133.160833333333,66,"Decatur, IL"
"92","Deltona-Daytona Beach-Ormond Beach","FL",0.246531367886923,75.0192857142857,357,"Deltona-Daytona Beach-Ormond Beach, FL"
"93","Denver-Aurora-Lakewood","CO",0.103939429791494,36.6125,4210,"Denver-Aurora-Lakewood, CO"
"94","Des Moines-West Des Moines","IA",0.310147515388346,93.30875,408,"Des Moines-West Des Moines, IA"
"95","Detroit-Warren-Dearborn","MI",0.273610418319533,58.691,287,"Detroit-Warren-Dearborn, MI"
"96","Dothan","AL",0.409080411627347,122.645,51,"Dothan, AL"
"97","Dover","DE",0.39292650607253,134.08625,38,"Dover, DE"
"98","Dubuque","IA",0.36434333612405,116.6635,68,"Dubuque, IA"
"99","Duluth","MN",0.199309650430937,67.639375,139,"Duluth, MN"
"100","Durham-Chapel Hill","NC",0.21334248803921,61.605625,591,"Durham-Chapel Hill, NC"
"101","East Stroudsburg","PA",0.395016837098178,104.429166666667,116,"East Stroudsburg, PA"
"102","Eau Claire","WI",0.347452297260025,111.1575,36,"Eau Claire, WI"
"103","El Paso","TX",0.309539526201473,85.2205555555556,1635,"El Paso, TX"
"104","Elizabethtown-Fort Knox","KY",0.279580631782894,74.9241666666667,190,"Elizabethtown-Fort Knox, KY"
"105","Elkhart-Goshen","IN",0.401951537511314,109.686666666667,352,"Elkhart-Goshen, IN"
"106","Elmira","NY",0.333102170335029,82.16125,52,"Elmira, NY"
"107","Enid","OK",0.234237638909579,72.9004166666666,169,"Enid, OK"
"108","Erie","PA",0.413584751412226,129.2025,102,"Erie, PA"
"109","Eugene-Springfield","OR",0.209117286282301,64.9071666666667,3290,"Eugene-Springfield, OR"
"110","Evansville","IN",0.4007764713433,116.700833333333,269,"Evansville, IN"
"111","Fargo","ND",0.237192532048367,79.1375,81,"Fargo, ND"
"112","Farmington","NM",0.319004124688204,103.473125,186,"Farmington, NM"
"113","Fayetteville","NC",0.386149466279772,103.110961538462,768,"Fayetteville, NC"
"114","Fayetteville-Springdale-Rogers","AR",0.333655277284034,102.491388888889,1143,"Fayetteville-Springdale-Rogers, AR"
"115","Flagstaff","AZ",0.245452543442761,78.426,2036,"Flagstaff, AZ"
"116","Flint","MI",0.404901049123076,103.2635,152,"Flint, MI"
"117","Florence","SC",0.254986243215306,58.9875,62,"Florence, SC"
"118","Florence-Muscle Shoals","AL",0.332559090900335,106.114166666667,194,"Florence-Muscle Shoals, AL"
"119","Fond du Lac","WI",0.41230421812798,115.47,30,"Fond du Lac, WI"
"120","Fort Collins","CO",0.19395346986445,65.5975,1267,"Fort Collins, CO"
"121","Fort Smith","AR",0.315660709110138,91.5021875,439,"Fort Smith, AR"
"122","Fort Wayne","IN",0.377627689970755,97.4491666666667,315,"Fort Wayne, IN"
"123","Gadsden","AL",0.426067036411864,132.5175,5,"Gadsden, AL"
"124","Gainesville","FL",0.275217817567095,81.435625,516,"Gainesville, FL"
"125","Gainesville","GA",0.302813854496906,88.99,242,"Gainesville, GA"
"126","Gettysburg","PA",0.389604773949098,118.72,75,"Gettysburg, PA"
"127","Glens Falls","NY",0.472063048832943,167.44125,12,"Glens Falls, NY"
"128","Goldsboro","NC",0.378710906134945,104.13875,64,"Goldsboro, NC"
"129","Grand Forks","ND",0.157589736583662,46.045,167,"Grand Forks, ND"
"130","Grand Island","NE",0.382689248032868,127.521666666667,130,"Grand Island, NE"
"131","Grand Junction","CO",0.29740772341121,97.8241666666666,114,"Grand Junction, CO"
"132","Grand Rapids-Kentwood","MI",0.329998204772293,95.0485,995,"Grand Rapids-Kentwood, MI"
"133","Grants Pass","OR",0.225913948129933,71.4572916666666,752,"Grants Pass, OR"
"134","Great Falls","MT",0.187540582240081,48.9041666666667,109,"Great Falls, MT"
"135","Greeley","CO",0.22776764482737,73.6704166666667,334,"Greeley, CO"
"136","Green Bay","WI",0.478307247930985,156.2045,128,"Green Bay, WI"
"137","Greensboro-High Point","NC",0.442139419913079,131.4475,520,"Greensboro-High Point, NC"
"138","Greenville","NC",0.485334792858915,140.888333333333,100,"Greenville, NC"
"139","Greenville-Anderson","SC",0.350462047520336,105.5825,794,"Greenville-Anderson, SC"
"140","Gulfport-Biloxi","MS",0.258621017446852,68.5767857142857,748,"Gulfport-Biloxi, MS"
"141","Hagerstown-Martinsburg","MD",0.275474034221871,69.14,315,"Hagerstown-Martinsburg, MD"
