msa,m_new_house_p,Income2Q,households,priced-out 
"Syracuse, NY MSA",299007,95900,268267,387
"Tallahassee, FL MSA",220666,56798,137300,279
"Tampa-St. Petersburg-Clearwater, FL MSA",376565,103652,1177086,842
"Terre Haute, IN MSA",203506,54299,73531,173
"Toledo, OH MSA",255682,73852,260186,362
"Topeka, KS MSA",216320,62215,91646,221
"Trenton-Ewing, NJ MSA",446961,136243,134536,88
"Tucson, AZ MSA",287021,73702,399026,660
"Tulsa, OK MSA",223880,60536,375628,867
"Tuscaloosa, AL MSA",248394,59158,79981,120
"Tyler, TX MSA",232175,65966,74360,129
"Utica-Rome, NY MSA",298972,94627,118949,169
"Valdosta, GA MSA",137268,35630,54958,196
"Vallejo-Fairfield, CA MSA",255570,64307,143461,259
"Vineland-Millville-Bridgeton, NJ MSA",177370,55125,50779,104
"Virginia Beach-Norfolk-Newport News, VA-",234587,59056,648268,1370
"Visalia-Porterville, CA MSA",253824,63209,134074,272
"Waco, TX MSA",201313,60613,87319,163
"Warner Robins, GA MSA",232089,60349,53293,116
"Waterloo-Cedar Falls, IA MSA",232706,64308,65726,166
"Wausau, WI MSA",243269,70353,49835,111
"Wenatchee-East Wenatchee, WA MSA",239422,60552,42564,94
"Wichita Falls, TX MSA",223899,70763,64542,159
"Wichita, KS MSA",226945,64818,245039,586
"Williamsport, PA MSA",289987,79994,43826,70
"Wilmington, NC MSA",266712,66865,152944,282
"Winchester, VA-WV MSA",233050,56203,51402,62
"Winston-Salem, NC MSA",189420,48459,201425,445
"Worcester, MA MSA",296995,79168,307142,428
"Yakima, WA MSA",276602,72065,75369,135
"York-Hanover, PA MSA",265832,74801,170288,352
"Youngstown-Warren-Boardman, OH-PA MS",232467,65474,224983,405
"Yuba City, CA MSA",246352,63666,57492,115
"Yuma, AZ MSA",178173,46100,69720,187
