origin,Latitude.A,Longitude.A,destination,Latitude.B,Longitude.B,Net_B2A
"San Francisco County,California",37.7749295,-122.4194155,"Multnomah County,Oregon",45.5145659,-122.5863212,-625
"San Francisco County,California",37.7749295,-122.4194155,"King County,Washington",47.5480339,-121.9836029,-819
"San Joaquin County,California",37.9175935,-121.1710389,"Knox County,Tennessee",36.0186934,-83.8473015,-629
"San Mateo County,California",37.4337342,-122.4014193,"Travis County,Texas",30.2097015,-97.6982272,-568
"Santa Barbara County,California",34.6099379,-120.0665236,"Maricopa County,Arizona",33.2917968,-112.4291464,-626
"Santa Clara County,California",37.2938907,-121.7195459,"Clark County,Nevada",36.0795613,-115.094045,-1544
"Santa Clara County,California",37.2938907,-121.7195459,"Jackson County,Oregon",42.334535,-122.7646577,-560
"Santa Clara County,California",37.2938907,-121.7195459,"Washington County,Oregon",45.5469616,-123.1386021,-578
"Santa Clara County,California",37.2938907,-121.7195459,"Collin County,Texas",33.1795213,-96.4929797,-749
"Santa Clara County,California",37.2938907,-121.7195459,"Travis County,Texas",30.2097015,-97.6982272,-595
"Santa Clara County,California",37.2938907,-121.7195459,"Williamson County,Texas",30.7591685,-97.6982272,-1413
"Santa Clara County,California",37.2938907,-121.7195459,"King County,Washington",47.5480339,-121.9836029,-1293
"Tulare County,California",36.1341739,-118.8596804,"Virginia Beach City,Virginia",36.8516437,-75.9792194,-1160
"Ventura County,California",34.3704884,-119.1390642,"Maricopa County,Arizona",33.2917968,-112.4291464,-826
"Ventura County,California",34.3704884,-119.1390642,"Clark County,Nevada",36.0795613,-115.094045,-998
